mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,ctx_latency,ctx_memory,gen_latency,gen_memory,prefill_total_ms,decode_tokens,oom,error
baseline,4000,4131,373.473,0.125,21,0.0,253.715185546875,5476.73681640625,13.014271240234375,4296.6787109375,,100,False,
baseline,8000,8051,746.913,0.25,41,0.0,670.783154296875,10828.83349609375,12.9918359375,6691.31640625,,100,False,
baseline,12000,12167,1120.353,0.375,62,0.0,1356.8162109375,22252.0224609375,13.031060791015625,9218.212890625,,100,False,
baseline,16000,16087,1493.792,0.5,82,0.0,2152.619921875,37388.96728515625,12.96036376953125,11615.25244140625,,100,False,
baseline,20000,20007,1867.232,0.625,102,0.0,3126.879296875,56694.27197265625,13.048912353515625,14017.056640625,,100,False,
baseline,24000,24123,2240.672,0.75,123,0.0,4170.0,81441.8095703125,13.005408935546875,16541.99267578125,,100,False,
baseline,28000,28043,2614.111,0.875,143,0.0,5462.812109375,109274.255859375,12.998212890625,18941.89599609375,,100,False,
baseline,32000,32000,2987.551,1.0,164,0.0,,,,,,,True,"CUDA out of memory. Tried to allocate 53.41 GiB. GPU 0 has a total capacity of 139.81 GiB of which 52.14 GiB is free. Including non-PyTorch memory, this process has 87.66 GiB memory in use. Of the allocated memory 84.47 GiB is allocated by PyTorch, and 2.52 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
duo,4000,4131,373.473,0.125,21,0.5,128.2964111328125,4494.09228515625,14.585765380859375,1851.19677734375,,100,False,
duo,8000,8051,746.913,0.25,41,0.5,248.3436279296875,7097.447265625,14.743248291015625,1920.80126953125,,100,False,
duo,12000,12167,1120.353,0.375,62,0.5,378.8691162109375,9835.978515625,14.80855712890625,1998.00634765625,,100,False,
duo,16000,16087,1493.792,0.5,82,0.5,507.32998046875,12441.0625,14.7853466796875,2063.67333984375,,100,False,
duo,20000,20007,1867.232,0.625,102,0.5,639.8705078125,15047.20947265625,14.725767822265626,2136.22119140625,,100,False,
duo,24000,24123,2240.672,0.75,123,0.5,783.0576171875,17784.69091796875,14.746771240234375,2208.580078125,,100,False,
duo,28000,28043,2614.111,0.875,143,0.5,923.14384765625,20390.638671875,14.7991455078125,2278.36572265625,,100,False,
duo,32000,32000,2987.551,1.0,164,0.5,1067.80927734375,23128.23095703125,14.772996826171875,2350.88134765625,,100,False,
