mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,ctx_latency,ctx_memory,gen_latency,gen_memory,prefill_total_ms,decode_tokens,oom
baseline,4000,4160,148.6,0.125,21,0.0,122.92025146484374,5428.2119140625,14.238233642578125,4281.4912109375,,100,False
baseline,8000,8080,297.167,0.25,41,0.0,350.3166015625,10780.6552734375,21.3946533203125,6677.134765625,,100,False
baseline,12000,12000,445.733,0.375,61,0.0,732.005419921875,21548.56591796875,25.10667724609375,9082.77587890625,,100,False
baseline,16000,16116,594.3,0.5,82,0.0,1339.9212890625,37324.22021484375,28.68325927734375,11600.130859375,,100,False
baseline,20000,20036,742.867,0.625,102,0.0,2734.486328125,56622.57958984375,32.150234375,14002.35888671875,,100,False
baseline,24000,24152,891.433,0.75,123,0.0,3568.141796875,81359.24658203125,35.8235986328125,16525.3876953125,,100,False
baseline,28000,28072,1040.0,0.875,143,0.0,4538.524609375,109186.28369140625,39.4477294921875,18927.56591796875,,100,False
baseline,32000,32000,1188.567,1.0,164,0.0,5332.728125,141246.81298828125,42.4257275390625,21335.77392578125,,100,False
duo,4000,4160,148.6,0.125,21,0.5,51.9064697265625,1920.76708984375,13.116962890625,1832.24755859375,,100,False
duo,8000,8080,297.167,0.25,41,0.5,80.31575927734374,2098.28662109375,13.41818603515625,1912.162109375,,100,False
duo,12000,12000,445.733,0.375,61,0.5,111.1600341796875,2277.814453125,13.2081396484375,1998.22314453125,,100,False
duo,16000,16116,594.3,0.5,82,0.5,152.986279296875,2459.54541015625,13.0918896484375,2078.57421875,,100,False
duo,20000,20036,742.867,0.625,102,0.5,207.88173828125,2637.6376953125,13.257032470703125,2160.587890625,,100,False
duo,24000,24152,891.433,0.75,123,0.5,256.2197998046875,2822.5712890625,13.183433837890625,2247.01171875,,100,False
duo,28000,28072,1040.0,0.875,143,0.5,317.569140625,2998.19580078125,13.316859130859376,2328.7138671875,,100,False
duo,32000,32000,1188.567,1.0,164,0.5,384.520556640625,3176.154296875,13.637747802734374,2412.19921875,,100,False
