mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,prefill_chunk_size,ctx_latency,ctx_memory,prefill_total_ms,num_chunks,oom
baseline,32000,32000,1188.567,1.0,164,0.0,4000,442.5306701660156,22405.90576171875,3540.245361328125,8,False
baseline,32000,32000,1188.567,1.0,164,0.0,8000,892.753662109375,42033.74853515625,3571.0146484375,4,False
baseline,32000,32000,1188.567,1.0,164,0.0,12000,1301.3349609375,48450.69287109375,3904.0048828125,3,False
baseline,32000,32000,1188.567,1.0,164,0.0,16000,1990.3555908203125,81289.00439453125,3980.711181640625,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,20000,2356.829345703125,66300.98974609375,4713.65869140625,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,24000,3770.8046875,80414.21337890625,7541.609375,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,28000,3459.521240234375,108662.2734375,6919.04248046875,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,32000,10114.7109375,141246.56298828125,10114.7109375,1,False
duo,32000,32000,1188.567,1.0,164,0.5,4000,72.9205322265625,2419.39599609375,583.3642578125,8,False
duo,32000,32000,1188.567,1.0,164,0.5,8000,83.66572570800781,2528.21142578125,334.66290283203125,4,False
duo,32000,32000,1188.567,1.0,164,0.5,12000,106.0294698079427,2548.078125,318.0884094238281,3,False
duo,32000,32000,1188.567,1.0,164,0.5,16000,153.7897491455078,2745.9560546875,307.5794982910156,2,False
duo,32000,32000,1188.567,1.0,164,0.5,20000,162.9410858154297,2708.00048828125,325.8821716308594,2,False
duo,32000,32000,1188.567,1.0,164,0.5,24000,170.422607421875,2862.74560546875,340.84521484375,2,False
duo,32000,32000,1188.567,1.0,164,0.5,28000,185.53965759277344,3017.7177734375,371.0793151855469,2,False
duo,32000,32000,1188.567,1.0,164,0.5,32000,384.228515625,3174.244140625,384.228515625,1,False
