mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,prefill_chunk_size,ctx_latency,ctx_memory,prefill_total_ms,num_chunks,oom,error
baseline,32000,32000,1188.567,1.0,164,0.0,4000,1122.6954345703125,56276.6669921875,8981.5634765625,8,False,
baseline,32000,32000,1188.567,1.0,164,0.0,8000,2666.40478515625,92887.1796875,10665.619140625,4,False,
baseline,32000,32000,1188.567,1.0,164,0.0,12000,3303.9586588541665,102694.9873046875,9911.8759765625,3,False,
baseline,32000,32000,1188.567,1.0,164,0.0,16000,6551.396484375,166107.708984375,13102.79296875,2,False,
baseline,32000,32000,1188.567,1.0,164,0.0,20000,,,,,True,"HIP out of memory. Tried to allocate 40.05 GiB. GPU 0 has a total capacity of 191.69 GiB of which 37.62 GiB is free. Of the allocated memory 89.21 GiB is allocated by PyTorch, and 64.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
baseline,32000,32000,1188.567,1.0,164,0.0,24000,,,,,True,"HIP out of memory. Tried to allocate 60.08 GiB. GPU 0 has a total capacity of 191.69 GiB of which 58.43 GiB is free. Of the allocated memory 107.25 GiB is allocated by PyTorch, and 25.36 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
baseline,32000,32000,1188.567,1.0,164,0.0,28000,,,,,True,"HIP out of memory. Tried to allocate 81.78 GiB. GPU 0 has a total capacity of 191.69 GiB of which 36.99 GiB is free. Of the allocated memory 140.30 GiB is allocated by PyTorch, and 13.75 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
baseline,32000,32000,1188.567,1.0,164,0.0,32000,,,,,True,"HIP out of memory. Tried to allocate 106.81 GiB. GPU 0 has a total capacity of 191.69 GiB of which 65.36 GiB is free. Of the allocated memory 71.60 GiB is allocated by PyTorch, and 54.07 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_HIP_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
duo,32000,32000,1188.567,1.0,164,0.5,4000,219.5354461669922,17972.82421875,1756.2835693359375,8,False,
duo,32000,32000,1188.567,1.0,164,0.5,8000,382.33331298828125,18379.8544921875,1529.333251953125,4,False,
duo,32000,32000,1188.567,1.0,164,0.5,12000,533.5426839192709,18379.4326171875,1600.6280517578125,3,False,
duo,32000,32000,1188.567,1.0,164,0.5,16000,799.6808471679688,19193.54052734375,1599.3616943359375,2,False,
duo,32000,32000,1188.567,1.0,164,0.5,20000,820.0452880859375,18901.49072265625,1640.090576171875,2,False,
duo,32000,32000,1188.567,1.0,164,0.5,24000,841.9324951171875,19528.19287109375,1683.864990234375,2,False,
duo,32000,32000,1188.567,1.0,164,0.5,28000,907.4213256835938,20154.5673828125,1814.8426513671875,2,False,
duo,32000,32000,1188.567,1.0,164,0.5,32000,1897.873046875,20781.73828125,1897.873046875,1,False,
