mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,prefill_chunk_size,ctx_latency,ctx_memory,prefill_total_ms,num_chunks,oom
baseline,32000,32000,1188.567,1.0,164,0.0,4000,442.7945556640625,22405.90576171875,3542.3564453125,8,False
baseline,32000,32000,1188.567,1.0,164,0.0,8000,895.6829223632812,42033.74853515625,3582.731689453125,4,False
baseline,32000,32000,1188.567,1.0,164,0.0,12000,1303.91259765625,48450.69287109375,3911.73779296875,3,False
baseline,32000,32000,1188.567,1.0,164,0.0,16000,1994.8450927734375,81289.00439453125,3989.690185546875,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,20000,2353.9921875,66300.98974609375,4707.984375,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,24000,3769.90869140625,80414.21337890625,7539.8173828125,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,28000,3458.1181640625,108662.2734375,6916.236328125,2,False
baseline,32000,32000,1188.567,1.0,164,0.0,32000,10111.6025390625,141246.56298828125,10111.6025390625,1,False
duo,32000,32000,1188.567,1.0,164,0.5,4000,72.16320037841797,2419.39599609375,577.3056030273438,8,False
duo,32000,32000,1188.567,1.0,164,0.5,8000,83.70751953125,2528.21142578125,334.830078125,4,False
duo,32000,32000,1188.567,1.0,164,0.5,12000,106.98890177408855,2548.078125,320.9667053222656,3,False
duo,32000,32000,1188.567,1.0,164,0.5,16000,152.8749237060547,2745.9560546875,305.7498474121094,2,False
duo,32000,32000,1188.567,1.0,164,0.5,20000,162.8533172607422,2708.00048828125,325.7066345214844,2,False
duo,32000,32000,1188.567,1.0,164,0.5,24000,170.01048278808594,2862.74560546875,340.0209655761719,2,False
duo,32000,32000,1188.567,1.0,164,0.5,28000,185.9170684814453,3017.7177734375,371.8341369628906,2,False
duo,32000,32000,1188.567,1.0,164,0.5,32000,387.71209716796875,3174.244140625,387.71209716796875,1,False
